n_points,algorithm,runs,mean_distance,median_distance,std_distance,min_distance,max_distance,mean_runtime_s,median_runtime_s,std_runtime_s,mean_gap_to_best_pct,median_gap_to_best_pct,mean_improvement_pct,distance_mean_ci95_low,distance_mean_ci95_high
30,ml_cpu,25,7367.59560546875,7118.8408203125,586.7193257268494,6477.8896484375,8461.7314453125,0.21955085200490426,0.2135422000428661,0.015158611557048519,62.41657252588181,62.33947101117829,,7149.958233398437,7594.983127929687
30,ml_gpu,25,6757.71447265625,6753.77978515625,641.3351299843918,5447.759765625,7670.31005859375,1.214729223998729,1.2082947000162676,0.03880123244725527,48.94935804680037,51.089756607359725,,6512.206501953126,6991.8592890625
40,classic_cpu,100,5436.032891540527,5416.494445800781,192.00347029543917,5095.805084228516,6244.256317138672,0.0031911210011457557,0.00311334998696105,0.0009916097868521991,4.594733578179909,3.8755503391852018,9.996971147037664,5399.137326129914,5475.208825611115
40,classic_gpu,100,5356.990930023193,5326.382827758789,140.88741911761542,5063.452774047852,5642.2757568359375,0.023906045000767286,0.0233747999882325,0.00400267484210688,3.082631164244784,2.2777494077584213,11.27245105816328,5330.328557060242,5385.1865838050835
40,ml_cpu,25,9831.1625,9864.599609375,340.5405810184143,9182.0185546875,10370.6875,0.33868855599779635,0.3339794999919832,0.020082832553032358,89.22028060911288,88.63895514654808,,9698.383291015625,9958.369653320313
40,ml_gpu,25,8416.49048828125,8355.3193359375,537.9538413388215,7568.9287109375,9388.986328125,1.6320100519969127,1.6114960000268184,0.06171502797524932,61.91902499591298,61.88108509558816,,8212.779701171874,8634.487686523438
50,classic_cpu,100,5910.490615615845,6061.981384277344,484.8122212579389,4895.3505859375,6644.240417480469,0.0056591190007747585,0.0056318500137421505,0.001363935074113348,6.39914079717067,6.124127588170597,13.253774654111808,5817.835245607376,5998.800867881775
50,classic_gpu,100,5774.491599731446,5861.225372314453,457.75540858767744,4814.612533569336,6492.038513183594,0.02985657899931534,0.0290380500082392,0.005317646595243357,3.9494376330288192,3.6271391097874455,15.221830296236032,5686.549403339386,5857.730403572082
50,ml_cpu,25,12337.376015625,12570.052734375,1192.7406098226113,9744.6357421875,13983.099609375,0.4695922879991122,0.466499800037127,0.009781865373327403,122.01264322835162,125.76390417245536,,11859.952749023438,12773.877951171875
50,ml_gpu,25,9635.6984765625,9556.4326171875,754.7433697308443,8339.4228515625,11004.251953125,2.0161900399927983,1.9941202000482008,0.06347062712173053,73.58210784123301,75.36982726010538,,9364.207618164062,9914.685006835938
100,classic_cpu,5,8580.651788330078,8652.845085144043,179.22750293041258,8271.732421875,8729.194519042969,0.03064639999065542,0.0275006999727338,0.007170984332940509,2.749105147215126,1.8691848600443424,9.363648648732662,8424.71159210205,8684.987173461914
100,classic_gpu,5,8351.592988586426,8425.967086791992,149.91229225138989,8136.296051025391,8494.075119018555,0.07263589999638494,0.0760911999968811,0.007881607212229705,0.0,0.0,11.744326496127995,8231.690285835266,8460.787219238282
100,ml_cpu,25,24270.113359375,24227.736328125,1144.753173257573,22403.798828125,26583.0546875,1.5706025360012428,1.5610206000274047,0.02750621324779813,190.6854469054225,191.48026362913515,,23826.929552734375,24724.85037109375
100,ml_gpu,25,18256.9009375,18135.6953125,683.2761802851113,17301.8984375,19619.314453125,3.940023684005719,3.9107650000369176,0.07293894503564706,118.59028459119394,118.19128947603926,,18005.464361328126,18526.690437499998
500,classic_cpu,5,17910.752696228028,18040.542541503903,322.3096846024134,17470.15489578247,18252.855072021484,3.8827484200010076,3.5602125999866985,0.9386665751884412,1.3379028716794832,0.8732125252855155,13.037837721829158,17640.135131835938,18150.737850952148
500,classic_gpu,5,17676.204884338378,17724.264068603516,405.02625187208304,17069.894664764404,18127.036533355717,3.0790425000013784,3.068820099986624,0.08299395131929392,0.0,0.0,14.188387073723513,17347.991229248048,17966.600186309814
500,ml_cpu,25,110044.6546875,110315.015625,2866.757548615605,103860.921875,115788.4765625,32.102527155994906,32.03636829997413,0.24259396660468577,522.7788317936981,520.5078656570543,,108931.42439843749,111144.20069531251
500,ml_gpu,25,106276.295625,106335.015625,2241.154744330809,100718.8125,111538.890625,19.53860156400362,19.461045900010504,0.29357523246192996,501.402700725628,499.2028148385051,,105433.520984375,107120.8834296875
