instance_id,n_points,instance_seed,algorithm,run_idx,run_seed,repeats_planned,distance_initial,distance_final,runtime_total_s,runtime_setup_s,runtime_solve_s,device,episodes,alpha,gamma,epsilon_init,n_chains,improvement_pct,gap_to_best_pct
n20_i2,20,20044,classic_gpu,0,30044,20,4283.4765625,4207.504364013672,0.011361900018528104,1.810002140700817e-05,0.011343799997121096,gpu,,,,,,1.7736106963075773,5.8025047164390296e-06
n20_i2,20,20044,classic_gpu,1,30045,20,5631.58154296875,4207.504547119141,0.015325399988796562,3.339996328577399e-05,0.015292000025510788,gpu,,,,,,25.28733686947364,1.01543832537683e-05
n20_i2,20,20044,classic_gpu,2,30046,20,4305.6279296875,4207.504425048828,0.012144000036641955,3.8700003642588854e-05,0.012105300032999367,gpu,,,,,,2.278959218981879,7.253130895548786e-06
n20_i2,20,20044,classic_gpu,3,30047,20,4511.712890625,4277.9012451171875,0.010008599958382547,3.4999975468963385e-05,0.009973599982913584,gpu,,,,,,5.182325453236519,1.6731326515317761
n20_i2,20,20044,classic_gpu,4,30048,20,4545.783203125,4207.504669189453,0.012959500018041581,3.570003900676966e-05,0.012923799979034811,gpu,,,,,,7.44158968476537,1.3055635611987815e-05
n20_i2,20,20044,classic_gpu,5,30049,20,4455.42626953125,4261.07568359375,0.010203399986494333,3.950000973418355e-05,0.010163899976760149,gpu,,,,,,4.362109800056177,1.2732385327365892
n20_i2,20,20044,classic_gpu,6,30050,20,4415.919921875,4207.5045166015625,0.011117700021713972,3.320001997053623e-05,0.011084500001743436,gpu,,,,,,4.719637334024488,9.42907016421342e-06
n20_i2,20,20044,classic_gpu,7,30051,20,4234.94970703125,4207.504425048828,0.009974999993573874,3.130000550299883e-05,0.009943699988070875,gpu,,,,,,0.6480663025786283,7.253130895548786e-06
n20_i2,20,20044,classic_gpu,8,30052,20,5956.58447265625,4285.80224609375,0.01231670001288876,3.579998156055808e-05,0.012280900031328201,gpu,,,,,,28.04933320818734,1.860916210417534
n20_i2,20,20044,classic_gpu,9,30053,20,4479.74658203125,4207.504730224609,0.011079300020355731,3.1400006264448166e-05,0.011047900014091283,gpu,,,,,,6.0771708136043285,1.4506261791097572e-05
n20_i2,20,20044,classic_gpu,10,30054,20,5302.0380859375,4255.9754638671875,0.012093400000594556,3.000005381181836e-05,0.012063399946782738,gpu,,,,,,19.729443755690205,1.1520213079578199
n20_i2,20,20044,classic_gpu,11,30055,20,4480.15234375,4214.869873046875,0.011997399968095124,3.360002301633358e-05,0.01196379994507879,gpu,,,,,,5.9212823660607246,0.17506229260805506
n20_i2,20,20044,classic_gpu,12,30056,20,4511.712890625,4277.9012451171875,0.010903699963819236,4.109996370971203e-05,0.010862600000109524,gpu,,,,,,5.182325453236519,1.6731326515317761
n20_i2,20,20044,classic_gpu,13,30057,20,4455.42626953125,4261.07568359375,0.010042899986729026,3.840000135824084e-05,0.010004499985370785,gpu,,,,,,4.362109800056177,1.2732385327365892
n20_i2,20,20044,classic_gpu,14,30058,20,4415.9423828125,4213.454437255859,0.012935200007632375,3.3400021493434906e-05,0.01290179998613894,gpu,,,,,,4.585384681302764,0.14142154620141023
n20_i2,20,20044,classic_gpu,15,30059,20,4654.7353515625,4285.801574707031,0.011915299983229488,3.6699988413602114e-05,0.011878599994815886,gpu,,,,,,7.925988246176556,1.8609002535295638
n20_i2,20,20044,classic_gpu,16,30060,20,5305.017578125,4207.504669189453,0.015778600005432963,3.69000481441617e-05,0.0157416999572888,gpu,,,,,,20.688204945089943,1.3055635611987815e-05
n20_i2,20,20044,classic_gpu,17,30061,20,5828.681640625,4299.991485595703,0.015681900025811046,4.549999721348286e-05,0.015636400028597564,gpu,,,,,,26.227031244502452,2.1981527073453435
n20_i2,20,20044,classic_gpu,18,30062,20,5150.697265625,4285.80224609375,0.012567500001750886,3.570003900676966e-05,0.012531799962744117,gpu,,,,,,16.791804583496546,1.860916210417534
n20_i2,20,20044,classic_gpu,19,30063,20,5083.521484375,4207.504119873047,0.014365200011525303,3.759999526664615e-05,0.014327600016258657,gpu,,,,,,17.232490650320447,0.0
n20_i2,20,20044,ml_cpu,0,40044,5,,5737.1689453125,0.11821700003929436,0.0,0.11821700003929436,cpu,1200.0,0.1,0.9,0.25,,,36.35563464369484
n20_i2,20,20044,ml_cpu,1,40045,5,,5363.9482421875,0.11887319997185841,0.0,0.11887319997185841,cpu,1200.0,0.1,0.9,0.25,,,27.485276053617902
n20_i2,20,20044,ml_cpu,2,40046,5,,5270.9375,0.12045930000022054,0.0,0.12045930000022054,cpu,1200.0,0.1,0.9,0.25,,,25.274684226786693
n20_i2,20,20044,ml_cpu,3,40047,5,,5336.7109375,0.11892069998430088,0.0,0.11892069998430088,cpu,1200.0,0.1,0.9,0.25,,,26.837925417433095
n20_i2,20,20044,ml_cpu,4,40048,5,,4375.9599609375,0.11779290001140907,0.0,0.11779290001140907,cpu,1200.0,0.1,0.9,0.25,,,4.003699967132437
